time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999960041972e-12	0.000000e+00	-7.849207e-28	5.000000e-02	5.000000e+00	0.000000e+00	-4.932571e-43	0.000000e+00
1.999999992008394e-11	0.000000e+00	-5.232147e-27	1.000000e-01	5.000000e+00	0.000000e+00	-4.599062e-42	0.000000e+00
1.000000000000000e-09	0.000000e+00	-5.209522e-22	5.000000e+00	5.000016e+00	0.000000e+00	-2.204152e-34	0.000000e+00
1.939600013067874e-08	0.000000e+00	-4.490808e-18	5.000000e+00	5.000305e+00	0.000000e+00	-1.584214e-27	0.000000e+00
3.782800026161321e-08	0.000000e+00	-2.464652e-17	5.000000e+00	5.000594e+00	0.000000e+00	-2.550440e-26	0.000000e+00
7.469200052348216e-08	0.000000e+00	-1.216764e-16	5.000000e+00	5.001173e+00	0.000000e+00	-3.298887e-25	0.000000e+00
1.484200010472200e-07	0.000000e+00	-5.393038e-16	5.000000e+00	5.002331e+00	0.000000e+00	-3.472832e-24	0.000000e+00
2.958760020946958e-07	0.000000e+00	-1.846646e-15	5.000000e+00	5.004648e+00	0.000000e+00	-1.747663e-23	0.000000e+00
3.327400023565648e-07	0.000000e+00	-2.298482e-15	5.000000e+00	5.005227e+00	0.000000e+00	-2.414210e-23	0.000000e+00
4.064680028803027e-07	0.000000e+00	-3.467501e-15	5.000000e+00	5.006385e+00	0.000000e+00	-4.723834e-23	0.000000e+00
5.539240039277784e-07	0.000000e+00	-6.404227e-15	5.000000e+00	5.008701e+00	0.000000e+00	-1.324163e-22	0.000000e+00
8.488360060227299e-07	0.000000e+00	-1.421306e-14	5.000000e+00	5.013333e+00	0.000000e+00	-5.148111e-22	0.000000e+00
1.438660010212633e-06	0.000000e+00	-3.486070e-14	5.000000e+00	5.022598e+00	0.000000e+00	-2.406124e-21	0.000000e+00
2.618308018592439e-06	0.000000e+00	-8.422865e-14	5.000000e+00	5.041126e+00	0.000000e+00	-9.064274e-21	0.000000e+00
3.046875000000000e-06	0.000000e+00	-1.040914e-13	5.000000e+00	5.047857e+00	0.000000e+00	-1.293644e-20	0.000000e+00
